slug,url,name,category,category_slug,calories,protein_g,total_fat_g,total_carb_g,dietary_fiber_g,sugars_g,sodium_mg,cholesterol_mg,scraped_at
2-reduced-fat-lactose-free-ultra-filtered-milk,https://caloriedata.org/calories-in/2-reduced-fat-lactose-free-ultra-filtered-milk,2% REDUCED FAT LACTOSE FREE ULTRA-FILTERED MILK,Dairy,dairy,67.0,8.33,2.08,2.92,0.0,2.5,52.0,12.0,2026-05-04T03:05:07Z
activia-dannon-blended-blueberry-lowfat-probiotic-yogurt-4-4-oz-cups,https://caloriedata.org/calories-in/activia-dannon-blended-blueberry-lowfat-probiotic-yogurt-4-4-oz-cups,Activia Dannon Blended Blueberry Lowfat Probiotic Yogurt 4-4 oz. Cups,Dairy,dairy,71.0,3.54,1.33,12.4,0.9,7.96,53.0,4.0,2026-05-04T03:05:08Z
activia-dannon-blended-mango-lowfat-probiotic-yogurt-4-4-oz-cups,https://caloriedata.org/calories-in/activia-dannon-blended-mango-lowfat-probiotic-yogurt-4-4-oz-cups,Activia Dannon Blended Mango Lowfat Probiotic Yogurt 4-4 oz. Cups,Dairy,dairy,71.0,3.54,1.33,12.4,0.0,9.73,49.0,4.0,2026-05-04T03:04:57Z
activia-dannon-blended-peach-lowfat-probiotic-yogurt-4-4-oz-cups,https://caloriedata.org/calories-in/activia-dannon-blended-peach-lowfat-probiotic-yogurt-4-4-oz-cups,Activia Dannon Blended Peach Lowfat Probiotic Yogurt 4-4 oz. Cups,Dairy,dairy,71.0,3.54,1.33,11.5,0.0,7.96,53.0,4.0,2026-05-04T03:04:58Z
activia-dannon-blended-prune-lowfat-probiotic-yogurt-4-4-oz-cups,https://caloriedata.org/calories-in/activia-dannon-blended-prune-lowfat-probiotic-yogurt-4-4-oz-cups,Activia Dannon Blended Prune Lowfat Probiotic Yogurt 4-4 oz. Cups,Dairy,dairy,71.0,3.54,1.33,12.4,0.0,7.96,49.0,4.0,2026-05-04T03:04:59Z
activia-dannon-mango-probiotic-dairy-drink-7-fl-oz-bottle,https://caloriedata.org/calories-in/activia-dannon-mango-probiotic-dairy-drink-7-fl-oz-bottle,Activia Dannon Mango Probiotic Dairy Drink 7 fl. oz. Bottle,Dairy,dairy,77.0,3.38,1.45,12.6,1.0,11.1,51.0,5.0,2026-05-04T03:04:59Z
activia-dannon-peach-probiotic-dairy-drink-7-fl-oz-bottle,https://caloriedata.org/calories-in/activia-dannon-peach-probiotic-dairy-drink-7-fl-oz-bottle,Activia Dannon Peach Probiotic Dairy Drink 7 fl. oz. Bottle,Dairy,dairy,77.0,3.38,1.45,12.6,1.0,11.1,51.0,5.0,2026-05-04T03:05:00Z
activia-dannon-prune-probiotic-dairy-drink-7-fl-oz-bottle,https://caloriedata.org/calories-in/activia-dannon-prune-probiotic-dairy-drink-7-fl-oz-bottle,Activia Dannon Prune Probiotic Dairy Drink 7 fl. oz. Bottle,Dairy,dairy,77.0,3.38,1.45,13.0,1.0,11.1,51.0,5.0,2026-05-04T03:05:01Z
adzuki-beans,https://caloriedata.org/calories-in/adzuki-beans,Adzuki Beans,Grains & Cereals,grains,128.0,8.5,0.2,23.0,6.4,0.2,1.0,0.0,2026-05-04T03:05:01Z
all-natural-snapple-apple-juice-drink-from-concentrate-snapple-apple,https://caloriedata.org/calories-in/all-natural-snapple-apple-juice-drink-from-concentrate-snapple-apple,"ALL NATURAL SNAPPLE APPLE JUICE DRINK FROM CONCENTRATE, SNAPPLE APPLE",Beverages,beverages,42.0,0.0,0.0,10.0,0.0,10.0,2.0,,2026-05-04T03:05:01Z
