food_code,name,category,sub_category,top_category_raw,calories,protein,carbohydrate,fat,dietary_fiber,vitamin_a,vitamin_b1,vitamin_b2,vitamin_c,vitamin_e,sodium,potassium,calcium,iron,zinc,gross_net_ratio,is_hard_to_weigh,scraped_at
019012,燕麦,主食,其他,谷类及其制品,338.0,10.1,77.4,0.2,6.0,0.0,0.46,0.07,,0.91,2.1,356.0,58.0,2.9,1.75,1.0,False,2026-05-04T08:32:40Z
019011,莜麦面,主食,其他,谷类及其制品,391.0,13.7,67.7,8.6,,,0.2,0.09,0.0,0.39,1.8,255.0,40.0,3.8,2.18,1.0,False,2026-05-04T08:32:40Z
019013,藜麦(散装),主食,其他,谷类及其制品,357.0,14.0,57.8,6.0,6.5,0.0,0.04,0.06,0.0,6.4,1.0,362.0,25.0,3.4,1.8,1.0,False,2026-05-04T08:32:40Z
019014,藜麦(散装),主食,其他,谷类及其制品,367.0,10.4,58.5,7.5,11.3,0.0,0.39,0.05,0.0,7.95,0.6,242.0,28.0,2.8,1.8,1.0,False,2026-05-04T08:32:40Z
019201,高粱面面条,主食,其他,谷类及其制品,304.0,7.0,68.7,0.2,0.3,,,,0.0,,,,,,,1.0,False,2026-05-04T08:32:40Z
014101,大麦(元麦),主食,大麦,谷类及其制品,327.0,10.2,,,9.9,0.0,0.43,0.14,0.0,1.23,0.0,49.0,66.0,,9.8,1.0,False,2026-05-04T08:32:40Z
014201,肚里黄,主食,大麦,谷类及其制品,337.0,8.8,76.7,1.2,8.0,,0.37,0.02,0.0,1.28,,,,2.31,0.0,1.0,False,2026-05-04T08:32:40Z
014202,青稞,主食,大麦,谷类及其制品,342.0,8.1,75.0,1.5,1.8,0.0,0.34,0.11,0.0,0.96,,644.0,113.0,2.38,4.6,1.0,False,2026-05-04T08:32:40Z
014102,黑大麦,主食,大麦,谷类及其制品,327.0,10.2,74.3,2.2,15.2,,0.54,0.14,0.0,,17.0,241.0,20.0,2.33,3.99,1.0,False,2026-05-04T08:32:40Z
015201,大黄米(黍子),主食,小米黄米,谷类及其制品,356.0,13.6,71.1,2.7,3.5,,0.3,0.09,0.0,1.79,,,30.0,3.05,2.31,1.0,False,2026-05-04T08:32:40Z
015101,小米,主食,小米黄米,谷类及其制品,361.0,9.0,75.1,3.1,1.6,8.0,0.33,0.1,0.0,3.63,4.3,284.0,41.0,,,1.0,False,2026-05-04T08:32:40Z
